Source,Target,Type,Weight,Color
US_gold,US_stock,Directed,0.2876682857576245,"[245, 208, 1]"
US_forex,US_stock,Directed,0.078775441439782,"[1, 1, 255]"
US_bond,US_stock,Directed,0.2990672722891437,"[255, 1, 1]"
US_gold,US_forex,Directed,0.9152501876411396,"[245, 208, 1]"
US_gold,US_bond,Directed,0.14535635628012672,"[245, 208, 1]"
US_bond,US_forex,Directed,0.290400085076231,"[255, 1, 1]"
US_bond,BRA_bond,Undirected,0.304639703396929,"[1, 128, 1]"
BRA_stock,BRA_gold,Directed,0.5854982580549206,"[128, 1, 128]"
BRA_stock,BRA_forex,Directed,0.23593842095664574,"[128, 1, 128]"
BRA_bond,BRA_stock,Directed,0.3539737513925437,"[255, 1, 1]"
BRA_forex,BRA_gold,Directed,0.5349813771207776,"[1, 1, 255]"
BRA_bond,BRA_gold,Directed,0.35336919574570036,"[255, 1, 1]"
BRA_bond,BRA_forex,Directed,0.41381034825622676,"[255, 1, 1]"
US_bond,KOR_bond,Undirected,0.218790745767255,"[1, 128, 1]"
KOR_gold,KOR_stock,Directed,0.13372989622930237,"[245, 208, 1]"
KOR_stock,KOR_forex,Directed,0.596090885800914,"[128, 1, 128]"
KOR_bond,KOR_stock,Directed,0.16174544123398293,"[255, 1, 1]"
KOR_gold,KOR_forex,Directed,0.3607638830758172,"[245, 208, 1]"
KOR_bond,KOR_gold,Directed,0.01586129731863889,"[255, 1, 1]"
KOR_bond,KOR_forex,Directed,0.2839797845297154,"[255, 1, 1]"
US_bond,FRA_bond,Undirected,0.185229933574368,"[1, 128, 1]"
FRA_stock,FRA_gold,Directed,0.526794247922787,"[128, 1, 128]"
FRA_stock,FRA_forex,Directed,0.8214214918764013,"[128, 1, 128]"
FRA_stock,FRA_bond,Directed,0.18175760088013695,"[128, 1, 128]"
FRA_gold,FRA_forex,Directed,0.06094959820574197,"[245, 208, 1]"
FRA_gold,FRA_bond,Directed,0.05464466630163767,"[245, 208, 1]"
FRA_bond,FRA_forex,Directed,0.002693181153940974,"[255, 1, 1]"
US_forex,AUS_forex,Undirected,0.571989165838361,"[1, 128, 1]"
AUS_gold,AUS_stock,Directed,0.3155026226726011,"[245, 208, 1]"
AUS_stock,AUS_forex,Directed,0.3971406056240804,"[128, 1, 128]"
AUS_stock,AUS_bond,Directed,0.0011470544735214805,"[128, 1, 128]"
AUS_gold,AUS_forex,Directed,0.6606038893451786,"[245, 208, 1]"
AUS_gold,AUS_bond,Directed,0.6085041824262172,"[245, 208, 1]"
AUS_bond,AUS_forex,Directed,0.45006089336047694,"[255, 1, 1]"
US_forex,FRA_forex,Undirected,0.245609746790046,"[1, 128, 1]"
US_forex,JPN_forex,Undirected,0.241618327314559,"[1, 128, 1]"
JPN_stock,JPN_gold,Directed,0.19471171161204048,"[128, 1, 128]"
JPN_stock,JPN_forex,Directed,0.7729235369169187,"[128, 1, 128]"
JPN_stock,JPN_bond,Directed,0.14207025188126057,"[128, 1, 128]"
JPN_gold,JPN_forex,Directed,0.0008875957995346379,"[245, 208, 1]"
JPN_gold,JPN_bond,Directed,0.015613195559426432,"[245, 208, 1]"
JPN_forex,JPN_bond,Directed,0.04711842678332069,"[1, 1, 255]"
US_stock,CAN_stock,Undirected,0.543320403529596,"[1, 128, 1]"
CAN_gold,CAN_stock,Directed,0.22923041796581636,"[245, 208, 1]"
CAN_stock,CAN_forex,Directed,0.24303882370904273,"[128, 1, 128]"
CAN_stock,CAN_bond,Directed,0.07945002553372146,"[128, 1, 128]"
CAN_gold,CAN_forex,Directed,0.7696070040928443,"[245, 208, 1]"
CAN_gold,CAN_bond,Directed,0.5614361620214828,"[245, 208, 1]"
CAN_bond,CAN_forex,Directed,0.044368010080947734,"[255, 1, 1]"
US_stock,THA_stock,Undirected,0.431782789565376,"[255, 165, 1]"
THA_gold,THA_stock,Directed,0.11503223591785991,"[245, 208, 1]"
THA_forex,THA_stock,Directed,0.7348324581412526,"[1, 1, 255]"
THA_bond,THA_stock,Directed,0.08633231912663203,"[255, 1, 1]"
THA_forex,THA_gold,Directed,0.40963437398875646,"[1, 1, 255]"
THA_bond,THA_gold,Directed,0.13374168248620072,"[255, 1, 1]"
THA_forex,THA_bond,Directed,0.0018764395497671282,"[1, 1, 255]"
US_stock,IND_stock,Undirected,0.249497646893254,"[255, 165, 1]"
IND_stock,IND_gold,Directed,0.027581498776139995,"[128, 1, 128]"
IND_forex,IND_stock,Directed,0.8260442539098545,"[1, 1, 255]"
IND_bond,IND_stock,Directed,0.0507518741725235,"[255, 1, 1]"
IND_forex,IND_gold,Directed,0.346753193399543,"[1, 1, 255]"
IND_bond,IND_gold,Directed,0.0691827214396876,"[255, 1, 1]"
IND_forex,IND_bond,Directed,0.07879772246469421,"[1, 1, 255]"
US_gold,CAN_gold,Undirected,0.364967491523689,"[1, 128, 1]"
US_gold,IND_gold,Undirected,0.261516254379806,"[1, 128, 1]"
US_gold,UK_gold,Undirected,0.221214828451929,"[255, 165, 1]"
UK_stock,UK_gold,Directed,0.37341645120869144,"[128, 1, 128]"
UK_stock,UK_forex,Directed,0.8551624007639115,"[128, 1, 128]"
UK_bond,UK_stock,Directed,0.18898030300007573,"[255, 1, 1]"
UK_gold,UK_forex,Directed,0.48587485247268647,"[245, 208, 1]"
UK_bond,UK_gold,Directed,0.3761099250118627,"[255, 1, 1]"
UK_bond,UK_forex,Directed,0.9019872129748878,"[255, 1, 1]"
