Id,Size,Color,Label
US_bond,0.28485742227524247,"[255, 1, 1]",B
US_forex,0.4092005869595252,"[1, 1, 255]",F
US_stock,0.4516461035397727,"[128, 1, 128]",S
US_gold,0.5543292530179057,"[245, 208, 1]",G
UK_bond,0.00010682616688986523,"[255, 1, 1]",B
UK_forex,0.05577529179915043,"[1, 1, 255]",F
UK_stock,0.03358075956559206,"[128, 1, 128]",S
UK_gold,0.1128536205842873,"[245, 208, 1]",G
KOR_bond,0.12760407851785432,"[255, 1, 1]",B
KOR_forex,0.6529610086320374,"[1, 1, 255]",F
KOR_stock,0.15817536132643903,"[128, 1, 128]",S
KOR_gold,0.15461080977348338,"[245, 208, 1]",G
RUS_bond,0.3005351805494963,"[255, 1, 1]",B
RUS_forex,0.5679899747289092,"[1, 1, 255]",F
RUS_stock,0.12310085177339805,"[128, 1, 128]",S
RUS_gold,0.42954662684997114,"[245, 208, 1]",G
AUS_bond,0.04129451141360291,"[255, 1, 1]",B
AUS_forex,0.00312439610857599,"[1, 1, 255]",F
AUS_stock,0.35148280570776647,"[128, 1, 128]",S
AUS_gold,0.3490342577220923,"[245, 208, 1]",G
JPN_bond,0.016463933729514657,"[255, 1, 1]",B
JPN_forex,0.22537081057748226,"[1, 1, 255]",F
JPN_stock,0.2731032024453395,"[128, 1, 128]",S
JPN_gold,0.016894183170228148,"[245, 208, 1]",G
CHN_bond,0.022644801686289052,"[255, 1, 1]",B
CHN_forex,0.258759658540697,"[1, 1, 255]",F
CHN_stock,0.2705317732315103,"[128, 1, 128]",S
CHN_gold,0.032737674303755494,"[245, 208, 1]",G
ARG_bond,0.029405909568841253,"[255, 1, 1]",B
ARG_forex,0.009073009975123095,"[1, 1, 255]",F
ARG_stock,0.033134385686327664,"[128, 1, 128]",S
ARG_gold,0.0531998473064208,"[245, 208, 1]",G
CAN_bond,0.022368899978734976,"[255, 1, 1]",B
CAN_forex,0.2697279546947289,"[1, 1, 255]",F
CAN_stock,0.3348324121887224,"[128, 1, 128]",S
CAN_gold,0.427300185316857,"[245, 208, 1]",G
